sample path, correct (yes/no), result,  expected
Samples/CMDS/CMDS(defs).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  1
Samples/CMDS/CMDS(end).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  42
Samples/TYPE/TYPE.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  5
Samples/TYPE/TYPES.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  43 
Samples/ER(2023_3).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  5
Samples/prog7.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  5
Samples/DEF/DEF(proc).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  5
Samples/DEF/DEF(VAR).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  11
Samples/DEF/DEF(const).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  3
Samples/DEF/DEF(ProcRec).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  1
Samples/DEF/DEF(funRec).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  6
Samples/DEF/DEF(fun).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  50
Samples/EXPR/EXPR(if_1).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  0
Samples/EXPR/EXPR(or_10).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  1
Samples/EXPR/EXPR(app_mul).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  25
Samples/EXPR/EXPR(app_f).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  50
Samples/EXPR/EXPR(not_0).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  1
Samples/EXPR/EXPR(if_0).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  1
Samples/EXPR/EXPR(lt_0).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  0
Samples/EXPR/EXPR(num).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  42
Samples/EXPR/EXPR(and_01).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  11
Samples/EXPR/EXPR(eq_1).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  1
Samples/EXPR/EXPR(app_sub).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  25
Samples/EXPR/EXPR(and_11).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  10
Samples/EXPR/EXPR(app_add).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  43
Samples/EXPR/EXPR(app_div).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  2
Samples/EXPR/EXPR(or_01).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  1
Samples/EXPR/EXPR(not_1).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  0
Samples/EXPR/EXPR(or_11).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  1
Samples/EXPR/EXPR(or_00).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  0
Samples/EXPR/EXPR(id).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  3
Samples/EXPR/EXPR(and_10).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  11
Samples/EXPR/EXPR(lt_1).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  1
Samples/EXPR/EXPR(and_00).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  11
Samples/EXPR/EXPR(eq_0).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  0
Samples/EXPR/EXPR(abs).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  42
Samples/APS2/bigVect.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
Samples/APS2/vect.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  1
Samples/APS2/ER2_2023.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 0 1 2
Samples/APS2/invertTab.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 5 4 3 2 1
Samples/APS2/matrix.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 0 1 2 3
Samples/APS2/copyVect.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 7 8 9
Samples/APS2/isPalindrome.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 9 9 9 1 0 0 9 9 9 1
Samples/APS2/maxVec.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 1 1 5
Samples/prog9.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  2
Samples/prog10.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  56
Samples/ER(2023_1).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  5
Samples/ASP3/FunRecBlock.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 
Samples/ASP3/FunBlock.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 
Samples/ASP3/Return.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 
Samples/ER(2024_1).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  3
Samples/STAT/STAT(if).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 5 1
Samples/STAT/STAT(call-aps1a).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 1 2
Samples/STAT/STAT(while).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type, 6 7 8 9 10
Samples/STAT/STAT(call).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  15
Samples/STAT/STAT(set).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  5
Samples/STAT/STAT(echo).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  42
Samples/prog1.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  20
Samples/prog6.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  9
Samples/ER(2023_2).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  3
Samples/prog8.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  3
Samples/ER(2024_2).aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  6
Samples/prog4.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  100
Samples/prog3.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  30
Samples/prog0.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  42
Samples/APS0/isEven.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  10
