sample path, correct (yes/no), result,  expected
Samples/APS0/fact.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  120
Samples/APS0/pgcd.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  6
Samples/APS0/fib.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  55
Samples/APS0/pow.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  256
Samples/ARG/ARGS.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  50
Samples/APS1/set.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  30
Samples/APS1/proc.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  7
Samples/APS1/while.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  15
Samples/prog2.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  22
Samples/prog5.aps, no, test_samples.sh: ligne 38: ./evaluateur: Aucun fichier ou dossier de ce type,  2
