sample path, elapsed time (ms), memory usage (KB)
Samples/CMDS/CMDS(defs).aps, 756, 4741242
Samples/CMDS/CMDS(end).aps, 699, 4741241
Samples/TYPE/TYPE.aps, 764, 4741236
Samples/TYPE/TYPES.aps, 726, 4741237
Samples/ER(2023_3).aps, 680, 4741237
Samples/prog7.aps, 704, 4741232
Samples/DEF/DEF(proc).aps, 694, 4741240
Samples/DEF/DEF(VAR).aps, 723, 4741239
Samples/DEF/DEF(const).aps, 762, 4741241
Samples/DEF/DEF(ProcRec).aps, 699, 4741243
Samples/DEF/DEF(funRec).aps, 710, 4741242
Samples/DEF/DEF(fun).aps, 682, 4741239
Samples/EXPR/EXPR(if_1).aps, 712, 4741242
Samples/EXPR/EXPR(or_10).aps, 696, 4741243
Samples/EXPR/EXPR(app_mul).aps, 685, 4741245
Samples/EXPR/EXPR(app_f).aps, 761, 4741243
Samples/EXPR/EXPR(not_0).aps, 696, 4741243
Samples/EXPR/EXPR(if_0).aps, 718, 4741242
Samples/EXPR/EXPR(lt_0).aps, 715, 4741242
Samples/EXPR/EXPR(num).aps, 711, 4741241
Samples/EXPR/EXPR(and_01).aps, 686, 4741244
Samples/EXPR/EXPR(eq_1).aps, 699, 4741242
Samples/EXPR/EXPR(app_sub).aps, 705, 4741245
Samples/EXPR/EXPR(and_11).aps, 687, 4741244
Samples/EXPR/EXPR(app_add).aps, 743, 4741245
Samples/EXPR/EXPR(app_div).aps, 701, 4741245
Samples/EXPR/EXPR(or_01).aps, 705, 4741243
Samples/EXPR/EXPR(not_1).aps, 724, 4741243
Samples/EXPR/EXPR(or_11).aps, 709, 4741243
Samples/EXPR/EXPR(or_00).aps, 689, 4741243
Samples/EXPR/EXPR(id).aps, 705, 4741240
Samples/EXPR/EXPR(and_10).aps, 759, 4741244
Samples/EXPR/EXPR(lt_1).aps, 721, 4741242
Samples/EXPR/EXPR(and_00).aps, 703, 4741244
Samples/EXPR/EXPR(eq_0).aps, 722, 4741242
Samples/EXPR/EXPR(abs).aps, 717, 4741241
Samples/APS2/bigVect.aps, 695, 4741239
Samples/APS2/vect.aps, 757, 4741236
Samples/APS2/ER2_2023.aps, 713, 4741240
Samples/APS2/invertTab.aps, 715, 4741241
Samples/APS2/matrix.aps, 703, 4741238
Samples/APS2/copyVect.aps, 720, 4741240
Samples/APS2/isPalindrome.aps, 697, 4741244
Samples/APS2/maxVec.aps, 767, 4741238
Samples/APS2/3Dtensor.aps, 691, 4741240
Samples/prog9.aps, 701, 4741232
Samples/prog10.aps, 703, 4741233
Samples/ER(2023_1).aps, 699, 4741237
Samples/ER(2024_1).aps, 684, 4741237
Samples/STAT/STAT(if).aps, 724, 4741240
Samples/STAT/STAT(call-aps1a).aps, 715, 4741248
Samples/STAT/STAT(while).aps, 741, 4741243
Samples/STAT/STAT(call).aps, 686, 4741242
Samples/STAT/STAT(set).aps, 719, 4741241
Samples/STAT/STAT(echo).aps, 696, 4741242
Samples/prog1.aps, 720, 4741232
Samples/prog6.aps, 691, 4741232
Samples/ER(2023_2).aps, 707, 4741237
Samples/prog8.aps, 766, 4741232
Samples/ER(2024_2).aps, 709, 4741237
Samples/prog4.aps, 687, 4741232
Samples/prog3.aps, 699, 4741232
Samples/prog0.aps, 687, 4741232
Samples/APS0/isEven.aps, 689, 4741238
Samples/APS0/fact.aps, 705, 4741236
Samples/APS0/pgcd.aps, 706, 4741236
Samples/APS0/fib.aps, 726, 4741235
Samples/APS0/pow.aps, 712, 4741235
Samples/ARG/ARGS.aps, 714, 4741235
Samples/APS1/set.aps, 685, 4741235
Samples/APS1/proc.aps, 722, 4741236
Samples/APS1/while.aps, 700, 4741237
Samples/prog2.aps, 743, 4741232
Samples/prog5.aps, 711, 4741232
