sample path, elapsed time (ms), memory usage (KB)
Samples/CMDS/CMDS(defs).aps, 819, 4688826
Samples/CMDS/CMDS(end).aps, 752, 4688825
Samples/TYPE/TYPE.aps, 720, 4688820
Samples/TYPE/TYPES.aps, 719, 4688821
Samples/ER(2023_3).aps, 729, 4688821
Samples/prog7.aps, 713, 4688816
Samples/DEF/DEF(const).aps, 726, 4688825
Samples/DEF/DEF(funRec).aps, 713, 4688826
Samples/DEF/DEF(fun).aps, 714, 4688823
Samples/EXPR/EXPR(if_1).aps, 741, 4688826
Samples/EXPR/EXPR(or_10).aps, 732, 4688827
Samples/EXPR/EXPR(app_mul).aps, 715, 4688829
Samples/EXPR/EXPR(app_f).aps, 725, 4688827
Samples/EXPR/EXPR(not_0).aps, 705, 4688827
Samples/EXPR/EXPR(if_0).aps, 721, 4688826
Samples/EXPR/EXPR(lt_0).aps, 709, 4688826
Samples/EXPR/EXPR(num).aps, 708, 4688825
Samples/EXPR/EXPR(and_01).aps, 706, 4688828
Samples/EXPR/EXPR(eq_1).aps, 705, 4688826
Samples/EXPR/EXPR(app_sub).aps, 727, 4688829
Samples/EXPR/EXPR(and_11).aps, 714, 4688828
Samples/EXPR/EXPR(app_add).aps, 704, 4688829
Samples/EXPR/EXPR(app_div).aps, 704, 4688829
Samples/EXPR/EXPR(or_01).aps, 698, 4688827
Samples/EXPR/EXPR(not_1).aps, 739, 4688827
Samples/EXPR/EXPR(or_11).aps, 702, 4688827
Samples/EXPR/EXPR(or_00).aps, 700, 4688827
Samples/EXPR/EXPR(id).aps, 703, 4688824
Samples/EXPR/EXPR(and_10).aps, 701, 4688828
Samples/EXPR/EXPR(lt_1).aps, 707, 4688826
Samples/EXPR/EXPR(and_00).aps, 708, 4688828
Samples/EXPR/EXPR(eq_0).aps, 704, 4688826
Samples/EXPR/EXPR(abs).aps, 708, 4688825
Samples/prog9.aps, 703, 4688816
Samples/prog10.aps, 707, 4688817
Samples/ER(2023_1).aps, 728, 4688821
Samples/ER(2024_1).aps, 716, 4688821
Samples/STAT/STAT(echo).aps, 701, 4688826
Samples/prog1.aps, 714, 4688816
Samples/prog6.aps, 707, 4688816
Samples/ER(2023_2).aps, 712, 4688821
Samples/prog8.aps, 702, 4688816
Samples/ER(2024_2).aps, 708, 4688821
Samples/prog4.aps, 698, 4688816
Samples/prog3.aps, 696, 4688816
Samples/prog0.aps, 706, 4688816
Samples/APS0/isEven.aps, 711, 4688822
Samples/APS0/fact.aps, 725, 4688820
Samples/APS0/pgcd.aps, 728, 4688820
Samples/APS0/fib.aps, 706, 4688819
Samples/APS0/pow.aps, 714, 4688819
Samples/ARG/ARGS.aps, 713, 4688819
Samples/prog2.aps, 712, 4688816
Samples/prog5.aps, 703, 4688816
